id;name;email;password;phone;address;city;country
64caa487-cb2d-441a-89cf-6d44b5e464df;engage invoice Grocery;"9dTLf@z6.TOzbF";compressing Springs Jewelery;"+901 (2975811490";Taiwan Wooden back-end;Jessicaton;Bhutan
c701c70a-4e93-47fa-9f43-41d57854c820;Division Corporate;"PV@E.YUPQ";ProductX;"+3 260)3312139";Market Gorgeous;Grand Prairie;Malawi
a7f127df-5ded-49f1-8aff-0891aea22901;feed;"7FEw3t@dY31.Lrs";bandwidth expedite;"935654 1991";reintermediate e-business Loan;North Okeyhaven;Seychelles
c2fcbaba-61c5-413c-ba95-11bd50b9b89b;Monaco;"KA0I@5M.xYiB";discrete Chair;"871)-543 4447";Directives Multi-channelled payment;South Ahmad;Philippines
64618563-ef07-4953-8d27-a072ed8cd99b;Regional Computers;"Uz2@jFqI9Z.VoQbB";BallXXXX;"+85 535)186.7423";CSS Direct;Lake Bettieland;Tuvalu
6b61285d-0991-43e5-b686-217e86792ca9;Utah paradigms;"Oml@qC.vVrxF";Towels program Refined;"685) 547.9251";deliver Tasty;Lake Caleighland;Bolivia
805a2c88-2a8c-41a7-9591-304dec8eecb1;Lithuania Checking withdrawal;"ny98@e-4g-8.cm";Soft Card Applications;"+48 (639).1243602";envisioneer Expanded Cambridgeshire;Alexzandershire;Poland
06f36834-a739-4d8f-abdc-b32ca2cf514c;Market;"c@WG.Um";indigoXX;"+07 775)7780682";technologies Egyptian Tools;MacGyverview;Palestinian Territory
4b5d5e53-8441-4d5a-ba9d-69e17065efea;back;"wpc@Ee0-G.rBuYr";CentralX;"+43 (316)7878138";parsing;Missouri City;Holy See (Vatican City State)
20df0475-e127-43bd-8e10-e4bc98f2327b;JSON;"l@dY.YYCP";Unbranded Gorgeous Kentucky;"+7 (985)962-7472";payment;Lake Conner;India
